         1850643 function calls (1742367 primitive calls) in 1.417 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.207    0.026 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\codegen.py:1004(_finalize_specific)
      5/2    0.000    0.000    0.206    0.103 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typeinfer.py:1055(propagate)
     12/6    0.001    0.000    0.206    0.034 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typeinfer.py:147(propagate)
       14    0.000    0.000    0.198    0.014 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\codegen.py:1066(wrapper)
        8    0.000    0.000    0.197    0.025 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\binding\executionengine.py:94(finalize_object)
  179/172    0.003    0.000    0.191    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\types\functions.py:281(get_call_type)
  192/186    0.001    0.000    0.188    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typeinfer.py:568(resolve)
  206/198    0.000    0.000    0.185    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typing\context.py:188(resolve_function_type)
  206/198    0.001    0.000    0.184    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typing\context.py:232(_resolve_user_function_type)
  192/186    0.000    0.000    0.182    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typeinfer.py:1522(resolve_call)
      285    0.003    0.000    0.174    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\cpu.py:60(load_additional_registries)
        8    0.000    0.000    0.167    0.021 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\codegen.py:667(_optimize_final_module)
  987/978    0.001    0.000    0.163    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typing\templates.py:356(apply)
      100    0.161    0.002    0.161    0.002 c:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\main_numba.py:20(compute_next_step)
       16    0.000    0.000    0.155    0.010 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\binding\passmanagers.py:685(run)
        1    0.000    0.000    0.150    0.150 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\parfors\parfor_lowering.py:1666(call_parallel_gufunc)
    60/54    0.000    0.000    0.146    0.003 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typeinfer.py:558(__call__)
  259/235    0.001    0.000    0.144    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\lowering.py:455(lower_inst)
7245/7030    0.007    0.000    0.143    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
