         1850643 function calls (1742367 primitive calls) in 1.417 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       69    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\cgutils.py:149(__getattr__)
      3/2    0.000    0.000    0.003    0.002 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\parfors\parfor.py:4996(push_call_vars)
    15097    0.003    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\controlflow.py:126(predecessors)
        2    0.000    0.000    0.003    0.002 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\np\arrayobj.py:498(getitem_array_tuple)
       30    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\ir.py:1326(dump)
       17    0.000    0.000    0.003    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\importlib\metadata\_itertools.py:4(unique_everseen)
      108    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\extending.py:352(_register)
        6    0.000    0.000    0.003    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\parfors\parfor.py:3987(visit_vars_parfor)
     1369    0.001    0.000    0.003    0.000 {method '__reduce_ex__' of 'object' objects}
1428/1380    0.001    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\values.py:445(__init__)
     3202    0.003    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\controlflow.py:368(_add_edge)
       22    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\binding\module.py:109(verify)
      448    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\ssa.py:206(_run_ssa_block_pass)
      294    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\interpreter.py:1798(_dispatch)
        8    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\base.py:412(declare_function)
       22    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\errors.py:702(__init__)
      172    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      153    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\values.py:943(<listcomp>)
  203/168    0.001    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\parfors\array_analysis.py:975(_insert)
       69    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\cgutils.py:166(__getitem__)
        7    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\ir_utils.py:1355(simplify_CFG)
      417    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\compiler_lock.py:22(__exit__)
        1    0.000    0.000    0.003    0.003 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\typed\dictobject.py:1(<module>)
    40200    0.003    0.000    0.003    0.000 {built-in method builtins.id}
       14    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\ir.py:115(strformat)
        5    0.000    0.000    0.003    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\interpreter.py:986(peep_hole_delete_with_exit)
      417    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\compiler_lock.py:19(__enter__)
      109    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\pythonapi.py:1307(_get_function)
      294    0.001    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\byteflow.py:324(dispatch)
        1    0.000    0.000    0.003    0.003 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\cpython\numbers.py:1(<module>)
       89    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        8    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\callconv.py:454(return_user_exc)
     2848    0.002    0.000    0.003    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\contextlib.py:104(__init__)
     6090    0.002    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\event.py:265(on_start)
      177    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\instructions.py:175(descr)
       28    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\inline_closurecall.py:1464(match)
       66    0.001    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\parfors\parfor.py:4759(_update_parfor_get_setitems)
     1336    0.001    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typeconv\typeconv.py:40(check_compatible)
      417    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\compiler_lock.py:15(release)
        1    0.000    0.000    0.003    0.003 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\__init__.py:1(<module>)
  178/166    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\base.py:689(cast)
9200/7521    0.002    0.000    0.003    0.000 {built-in method builtins.hash}
       41    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\transforms.py:314(yield_loops_with_multiple_backedges)
       28    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\inline_closurecall.py:1477(_inline_const_arraycall)
      177    0.001    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\instructions.py:133(_descr)
      417    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\compiler_lock.py:11(acquire)
    12180    0.003    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\event.py:138(is_start)
       20    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typeinfer.py:1562(typeof_global)
       30    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\codegen.py:1259(_pass_manager_builder)
        2    0.000    0.000    0.003    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\np\arrayobj.py:523(setitem_array)
      336    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\cgutils.py:158(__setattr__)
        6    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\cgutils.py:694(get_item_pointer)
       92    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\module.py:45(add_metadata)
        8    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\ir.py:614(infer_constant)
        1    0.000    0.000    0.003    0.003 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\context.py:70(RLock)
      354    0.001    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typeinfer.py:1080(add_type)
       30    0.000    0.000    0.003    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\llvm_bindings.py:36(create_pass_manager_builder)
        2    0.000    0.000    0.003    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\cpython\rangeobj.py:87(getiter_range32_impl)
    15980    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      157    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\binding\ffi.py:275(__exit__)
       73    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\types\containers.py:144(from_types)
        1    0.000    0.000    0.002    0.002 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\runtime\nrtdynmod.py:181(create_nrt_module)
        8    0.000    0.000    0.002    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\importlib\metadata\__init__.py:914(<genexpr>)
      314    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\binding\ffi.py:265(close)
        7    0.000    0.000    0.002    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\importlib\metadata\__init__.py:812(search)
      688    0.001    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\parfors\array_analysis.py:942(define)
       52    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\instructions.py:215(set_weights)
       39    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\callconv.py:161(_get_arg_packer)
      580    0.001    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\values.py:1091(_to_list)
       39    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\base.py:319(get_arg_packer)
      754    0.001    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\instructions.py:708(descr)
    10854    0.002    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\controlflow.py:118(successors)
        5    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\lowering.py:301(setup_function)
        1    0.000    0.000    0.002    0.002 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\typed\listobject.py:1(<module>)
       39    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\datamodel\packer.py:73(__init__)
        1    0.000    0.000    0.002    0.002 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\np\ufunc\wrappers.py:461(gen_loop_body)
        2    0.000    0.000    0.002    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\cpython\rangeobj.py:100(from_range_state)
      153    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\binding\passmanagers.py:748(initialize)
      153    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\binding\passmanagers.py:755(finalize)
      199    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\builder.py:738(alloca)
        2    0.000    0.000    0.002    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\np\arrayobj.py:481(getitem_arraynd_intp)
     3366    0.002    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\builder.py:351(_insert)
       54    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\cgutils.py:173(__setitem__)
      442    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\ir_utils.py:394(replace_vars_inner)
        5    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\removerefctpass.py:99(remove_unnecessary_nrt_usage)
     2048    0.001    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\types.py:33(__ne__)
      202    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\lowering.py:1514(loadvar)
        1    0.000    0.000    0.002    0.002 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\cpython\unicode_support.py:1(<module>)
     9656    0.002    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\analysis.py:69(<genexpr>)
        2    0.000    0.000    0.002    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\imputils.py:192(imp)
       12    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\callwrapper.py:38(cleanup_arg)
        8    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\callconv.py:397(set_static_user_exc)
        4    0.000    0.000    0.002    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\ssa.py:145(_find_defs_violators)
      110    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typing\templates.py:1297(decorator)
     1128    0.001    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typing\templates.py:1248(register)
      700    0.001    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\types.py:30(as_pointer)
       42    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\base.py:1183(__init__)
      219    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\instructions.py:582(descr)
      246    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\event.py:422(trigger_event)
      110    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typing\templates.py:1275(decorate)
     1893    0.001    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\target_extension.py:15(__getitem__)
      179    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\builder.py:978(insert_value)
        1    0.000    0.000    0.002    0.002 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\cpython\setobj.py:1(<module>)
     1338    0.002    0.000    0.002    0.000 {built-in method _abc._abc_init}
      818    0.001    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\types\functions.py:78(add_error)
      174    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:392(cached)
        4    0.000    0.000    0.002    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\np\arrayobj.py:187(populate_array)
        1    0.000    0.000    0.002    0.002 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\cpython\tupleobj.py:1(<module>)
     1320    0.001    0.000    0.002    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\copyreg.py:113(_slotnames)
     1630    0.002    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\np\numpy_support.py:362(ufunc_can_cast)
       42    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\base.py:1212(__call__)
      230    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\instructions.py:205(descr)
        1    0.000    0.000    0.002    0.002 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\np\random\distributions.py:1(<module>)
       28    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\rewrites\ir_print.py:11(match)
       16    0.000    0.000    0.002    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\importlib\metadata\__init__.py:634(entry_points)
       16    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\callconv.py:804(get_function_type)
       14    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\ir.py:91(get_lines)
      152    0.001    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\ir.py:592(__repr__)
     2792    0.001    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\target_extension.py:47(current_target)
        4    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\parfors\parfor.py:4857(find_potential_aliases_parfor)
      239    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\ir.py:929(__str__)
       88    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
     3106    0.001    0.000    0.002    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\copy.py:243(_keep_alive)
     2238    0.000    0.000    0.002    0.000 {built-in method builtins.setattr}
      217    0.000    0.000    0.002    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\functools.py:818(dispatch)
        1    0.000    0.000    0.002    0.002 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\cpython\old_numbers.py:1(<module>)
       21    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\pythonapi.py:291(err_set_string)
      192    0.001    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typeinfer.py:496(fold_arg_vars)
        6    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\parfors\array_analysis.py:648(intersect)
        2    0.000    0.000    0.002    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\pythonapi.py:1440(from_native_return)
      570    0.001    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\instructions.py:447(descr)
        1    0.000    0.000    0.002    0.002 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\synchronize.py:1(<module>)
        2    0.000    0.000    0.002    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\pythonapi.py:1447(from_native_value)
       42    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\base.py:1200(_has_loc)
      270    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\inline_closurecall.py:1616(list_var_used)
        8    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\codegen.py:1158(create_library)
     1011    0.002    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\extending.py:62(overload)
      199    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\instructions.py:532(__init__)
        1    0.000    0.000    0.002    0.002 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\parfors\parfor_lowering.py:986(hoist)
      100    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\base.py:510(get_constant)
        8    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\codegen.py:643(__init__)
1318/1297    0.001    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\values.py:455(_get_reference)
       39    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\types\containers.py:202(__unliteral__)
       38    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\binding\targets.py:18(get_process_triple)
        1    0.000    0.000    0.002    0.002 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\old_boxing.py:431(box_array)
     1853    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\target_extension.py:121(inherits_from)
        8    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\ir_utils.py:1311(rename_labels)
       15    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\datamodel\old_models.py:551(_as)
     1578    0.001    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typing\context.py:492(_insert_global)
     1254    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typing\context.py:517(insert_global)
        2    0.000    0.000    0.002    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\cpython\old_tupleobj.py:157(iternext_unituple)
      299    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\interpreter.py:1522(_iter_inst)
       18    0.001    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\controlflow.py:512(_find_dominators_internal)
        7    0.000    0.000    0.002    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\importlib\metadata\_functools.py:75(wrapper)
        1    0.000    0.000    0.002    0.002 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\context.py:1(<module>)
        4    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\compiler.py:519(define_pipelines)
        2    0.000    0.000    0.002    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\cpython\old_numbers.py:189(int_rem_impl)
      153    0.001    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\parfors\array_analysis.py:512(_insert)
     2418    0.001    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typing\templates.py:368(<genexpr>)
        4    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\compiler.py:539(define_nopython_pipeline)
       16    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\base.py:987(make_helper)
        2    0.000    0.000    0.002    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\ssa.py:183(_run_block_rewrite)
       12    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\untyped_passes.py:162(run_pass)
        2    0.000    0.000    0.002    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\cpython\old_numbers.py:129(_int_divmod_impl)
       16    0.000    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\base.py:983(_make_helper)
      467    0.001    0.000    0.002    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\np\numpy_support.py:148(as_dtype)
